time,CPU,GPU
08:30:52,51.608,51.6
08:30:52,49.66,49.6
08:30:53,50.147,50.1
08:30:54,49.66,49.6
08:30:55,50.147,49.6
08:30:56,50.147,50.1
08:30:57,50.147,50.1
08:30:58,49.66,49.1
08:30:59,49.173,49.1
08:31:00,50.147,50.1
08:31:01,50.147,50.1
08:31:02,49.66,50.6
08:31:03,49.173,49.1
08:31:04,50.634,50.1
08:31:05,49.173,50.1
08:31:06,48.686,48.7
08:31:07,49.173,48.7
08:31:08,49.66,49.1
08:31:09,48.686,49.1
08:31:10,48.686,48.7
08:31:11,48.199,48.7
08:31:12,48.686,48.7
08:31:13,49.173,49.6
08:31:14,48.686,48.7
08:31:15,48.199,48.2
08:31:16,49.173,49.6
08:31:17,50.147,49.6
08:31:18,49.66,49.6
08:31:19,50.147,49.6
08:31:20,49.66,49.6
08:31:21,49.66,49.6
08:31:22,50.147,50.6
08:31:23,48.199,50.1
08:31:24,49.173,49.6
08:31:25,49.173,48.7
08:31:26,49.66,49.6
08:31:28,49.66,49.6
08:31:29,50.147,49.6
08:31:30,50.147,50.1
08:31:31,49.173,48.7
08:31:32,48.199,48.7
08:31:33,49.173,48.7
08:31:34,49.66,49.6
08:31:35,49.173,49.1
08:31:36,50.147,49.1
08:31:37,51.121,51.1
08:31:38,48.686,49.1
08:31:39,49.173,48.7
08:31:40,48.686,48.7
08:31:41,47.225,48.2
08:31:42,48.686,48.7
08:31:43,48.686,48.7
08:31:44,49.173,48.7
08:31:45,49.173,49.1
08:31:46,49.66,49.6
08:31:47,50.147,49.6
08:31:48,49.173,49.1
08:31:49,49.173,49.1
08:31:50,50.147,49.1
08:31:51,48.686,48.7
08:31:52,49.173,49.1
08:31:53,49.66,49.6
08:31:54,49.173,49.1
08:31:55,49.173,49.1
08:31:56,49.66,49.6
08:31:57,48.199,47.7
08:31:58,47.712,49.1
08:31:59,49.66,49.6
08:32:00,50.147,49.6
08:32:01,49.66,49.6
08:32:02,49.173,49.1
08:32:03,49.173,49.1
08:32:04,50.147,49.6
08:32:05,49.173,49.1
08:32:07,50.147,49.1
08:32:08,49.66,49.6
08:32:09,49.173,49.6
08:32:10,50.147,51.1
08:32:11,49.66,49.6
08:32:12,49.66,49.6
08:32:13,50.147,50.1
08:32:14,49.66,49.6
08:32:15,49.66,49.6
08:32:16,50.634,49.6
08:32:17,50.147,50.1
08:32:18,50.634,50.1
08:32:19,51.608,51.6
08:32:20,49.66,49.6
08:32:21,49.173,49.1
08:32:22,49.173,49.1
08:32:23,49.66,50.6
08:32:24,50.147,49.6
08:32:25,49.66,49.6
08:32:26,49.173,50.1
08:32:27,49.173,49.1
08:32:28,50.147,50.6
08:32:29,50.147,50.1
08:32:30,49.173,49.1
08:32:31,49.173,50.1
08:32:32,50.147,50.1
